salary_in_usd
49268
49461
270000
130000
20000
165000
52351
213120
33808
115000
55000
136994
210000
103160
60000
135000
112900
250000
160000
22611
37825
85000
148261
58894
115934
128875
10354
52396
120000
100000
141300
91614
135000
77684
115000
75000
160000
45391
80000
41689
160080
79833
78791
28369
174000
51064
61467
71786
136620
24342
100000
19609
124333
28476
59303
136600
164000
70139
88654
24823
32974
154000
65438
170000
61300
154600
116914
109280
125000
54094
65438
90320
53192
152000
54957
80000
9272
63711
68428
175000
170000
18442
62649
13400
70912
260000
200000
120000
118187
82500
49646
150075
87000
109280
12000
91000
147800
135000
69741
98158
130000
120000
170000
90734
450000
141846
35735
72500
16228
78791
56738
50000
138600
62726
90320
39916
40570
150000
200000
43966
54957
108800
76833
85000
69000
132320
125000
144000
82528
86703
70500
112300
220000
21637
105000
120000
157000
98000
130000
12000
215300
110000
20000
105000
120000
120000
58000
206699
112900
177000
102100
99000
129000
235000
47899
180000
75000
160080
165400
63810
200000
51321
28399
135000
62651
174000
91614
105000
150000
75774
45807
125000
50180
150000
250000
159000
256000
106260
36259
110000
18053
54000
99703
59102
195000
87932
100000
90320
220110
150000
15966
6072
65949
90734
160000
110500
98158
136000
58000
124190
25000
45807
100000
76958
224000
114047
9466
205300
102100
189650
47282
95746
150000
70000
117789
56256
112872
416000
450000
79833
100000
150000
24823
155000
99050
60000
105400
61300
16904
40189
110000
66265
21983
81666
130800
181940
170000
30428
99000
126500
43331
109024
123000
200000
180000
39263
150000
63900
180000
115000
165220
140000
20000
88654
18442
120000
126000
138350
46597
230000
50000
104702
90320
76833
100000
132320
119059
100000
113000
200000
140400
120160
28016
138000
39263
130026
78526
96282
214000
325000
26005
115000
144854
144000
130000
24000
423000
75000
90000
167000
90000
73000
112900
64849
52000
205300
196979
32974
190000
189650
93000
5707
140000
216000
170000
111775
5882
243900
167000
69741
58255
128875
29751
225000
106260
160000
5409
151000
80000
135000
200000
46809
145000
208775
100000
200000
100000
45618
56000
18000
164996
150260
230000
2859
100000
150000
51519
150000
87932
48000
93150
100000
76940
95550
87932
112900
54742
43966
87425
93700
80000
205300
84900
209100
78000
21669
200000
168000
120600
173762
105000
100000
154600
210000
65000
85000
10000
210000
140000
140000
155000
79197
164996
105000
152500
5679
324000
220000
66022
75000
241000
220000
192564
104890
183600
140000
8000
71444
90000
20000
188000
225000
170000
55000
158200
99100
160000
71982
110000
184700
58035
45807
52351
115500
62000
88654
54957
117104
45760
79039
50000
100000
74130
82528
65949
63831
135000
90000
242000
140250
40000
153000
60000
87738
72212
230000
18907
145000
110037
65438
185000
180000
10000
190200
187442
40038
32974
67000
77364
126500
87932
93427
185100
200000
175100
135000
12901
150000
94564
50000
100000
117789
127221
76833
70000
123000
103691
37236
120000
176000
276000
109000
135000
90000
21844
65000
36643
80000
220110
101570
80000
116150
20171
132320
161342
140000
60000
600000
54238
98158
150000
99360
266400
38400
102839
